Timestamp,1. How old are you?,Gender,GPA,Year,Home,UNITS,Attend,Lectures Do,OH,Study Time,"Homework Hours",Start assignments,35. Which of the following campus facilities do you use the most?,36. What kinds of clubs and extracurriculars do you partake in most?,37. How many clubs and organizations are you part of?,"39. On average, how many hours do you spend on clubs and extracurricular activities per week?",40. How many career / academic events have you attended this year?,49. What is your favorite beverage?,50. Do you crave certain foods when stressed?,Drinks,Intake,O,54. Do you experience any of the following side effects when consuming caffeine?,"56. On average, how many hours of sleep do you get per day?","57. On average, how would you rate the quality of your sleep?",Hub Hours
2/6/2023 21:39,21,Man,3.0 - 3.49,Senior,Off Campus (4 - 30 mile radius),20,4,Taking notes,0,7,7,4,Libraries / Study spaces,Sports / Physical Activity,1,5,0,Sprite,1,Energy drinks,50,"Studying / Working on assignments, After waking up",,7,3,30
2/6/2023 21:46,21,Woman,3.5 - 4.0,Junior,Off Campus (3 mile radius),13,5,Taking notes,0,6,6,2,"HUB / Dining Halls, Research Facilities","Academic / Professional, Social",2,2,0,coffee,1,"Coffee, Tea",200,"Studying / Working on assignments, Socializing, After waking up","Increased heart rate, Insomnia, Sleep deprivation",7,2,3
2/6/2023 21:47,22,Man,3.5 - 4.0,Senior,On Campus,12,5,Taking notes,0,7,4,2,"Libraries / Study spaces, Research Facilities, SRC","Academic / Professional, Science, Social",1,2,0,Black Tea,2,Tea,0,"Studying / Working on assignments, No particular ocassion","Dehydration, Dizziness, Headaches, Increased heart rate",7,4,5
2/6/2023 21:51,20,Woman,3.0 - 3.49,Senior,Off Campus (4 - 30 mile radius),16,5,Taking notes,0,1,8,2,"HUB / Dining Halls, Libraries / Study spaces",Academic / Professional,1,1,1,Strawberry lemonade,5,Tea,50,"Studying / Working on assignments, Socializing",Dehydration,9,5,2
2/6/2023 21:52,21,Man,3.5 - 4.0,Junior,Off Campus (4 - 30 mile radius),16,5,Listening without taking notes,0,4,10,3,"HUB / Dining Halls, Libraries / Study spaces","Science, Social",1,1,1,Boba,3,Coffee,80,"Working out, Studying / Working on assignments",,8,5,3
2/6/2023 21:53,22,Man,2.5 - 2.99,Senior,On Campus,16,4,Listening without taking notes,0,4,9,3,"HUB / Dining Halls, Libraries / Study spaces","Social, Gaming",2,3,0,Canada Dry,3,Soda,40,No particular ocassion,Dehydration,7,4,7
2/6/2023 22:12,19,Man,3.5 - 4.0,Sophomore,On Campus,18,5,Taking notes,2,4,4,3,SRC,Academic / Professional,2,1,0,sprite,5,Tea,100,"Working out, Studying / Working on assignments, After waking up","Dehydration, Headaches, Sleep deprivation",7,3,4
2/6/2023 22:48,21,Man,3.5 - 4.0,Senior,Off Campus (3 mile radius),20,4,Listening without taking notes,0,1,5,4,"HUB / Dining Halls, Libraries / Study spaces",,0,1,3,Sprite,1,Soda,0,No particular ocassion,"Increased heart rate, Insomnia",8,4,3
2/6/2023 22:52,24,Man,2.5 - 2.99,Junior,Off Campus (4 - 30 mile radius),12,5,Listening without taking notes,2,10,10,3,"HUB / Dining Halls, Libraries / Study spaces, SRC","Art, Community Service, Sports / Physical Activity",0,2,0,diet coke,1,"Coffee, Energy drinks, Soda",80,Studying / Working on assignments,"Headaches, Increased heart rate",6,3,7
2/6/2023 23:05,20,Woman,3.5 - 4.0,Sophomore,On Campus,18,5,Taking notes,0,10,10,3,"HUB / Dining Halls, Libraries / Study spaces",Academic / Professional,1,1,5,water,3,Coffee,80,"Studying / Working on assignments, No particular ocassion",,6,3,
2/6/2023 23:12,21,Man,3.5 - 4.0,Junior,Off Campus (4 - 30 mile radius),13,5,Listening without taking notes,1,6,25,1,Libraries / Study spaces,Religious / Cultural,1,2,0,coke,3,"Coffee, Soda, Tea",250,"Working out, Studying / Working on assignments","Dependency, Sleep deprivation",7,4,20
2/7/2023 0:02,21,Woman,3.5 - 4.0,Senior,On Campus,12,5,Taking notes,1,6,9,3,"HUB / Dining Halls, Libraries / Study spaces, SRC","Academic / Professional, Community Service, Science",1,2,3,Lemonade,4,Coffee,120,Studying / Working on assignments,"Dehydration, Increased heart rate",5,2,12
2/7/2023 0:10,21,Man,3.5 - 4.0,Senior,On Campus,12,5,Listening without taking notes,0,0,4,2,"HUB / Dining Halls, SRC",none,0,0.1,0,tea,1,Tea,0,No particular ocassion,Dehydration,8,4,26
2/7/2023 9:20,28,Woman,3.0 - 3.49,Senior,Off Campus (4 - 30 mile radius),13,3,Using your phone / computer,0,6,4,3,"HUB / Dining Halls, Libraries / Study spaces",Art,1,1,0,coke zero,5,"Coffee, Energy drinks, Soda",200,"Working out, Studying / Working on assignments, After waking up",,6,3,10
2/7/2023 9:22,20,Man,3.5 - 4.0,Junior,On Campus,13,5,Listening without taking notes,0,5,5,3,"HUB / Dining Halls, Libraries / Study spaces, SRC","Academic / Professional, Community Service, Political / Student Government",5,5,10,Mango juice,3,Soda,40,"Socializing, No particular ocassion",Dehydration,6,3,4
2/7/2023 9:30,21,Man,3.5 - 4.0,Junior,On Campus,18,5,Using your phone / computer,0,10,10,3,"HUB / Dining Halls, Libraries / Study spaces, SRC","Academic / Professional, Sports / Physical Activity",1,1,8,Icee,5,Soda,0,Studying / Working on assignments,"Dehydration, Headaches, Sleep deprivation",7,2,2
2/7/2023 9:38,21,Man,3.0 - 3.49,Senior,Off Campus (4 - 30 mile radius),13,5,Using your phone / computer,0,1,4,5,Libraries / Study spaces,,0,,0,Coke,1,Soda,80,No particular ocassion,,6,3,12
2/7/2023 10:33,37,Man,2.5 - 2.99,Senior,Off Campus (31+ mile radius),12,2,Listening without taking notes,1,27,28,3,Libraries / Study spaces,N/A,0,0,0,beer,1,Coffee,160,After waking up,Insomnia,5,3,2
2/7/2023 11:14,25,Man,2.5 - 2.99,Senior,Off Campus (4 - 30 mile radius),12,3,Using your phone / computer,0,10,8,3,Libraries / Study spaces,"Academic / Professional, Art, Sports / Physical Activity",0,0,2,coffee,4,"Coffee, Energy drinks, None",240,"Working out, Studying / Working on assignments, Socializing, After waking up, No particular ocassion","Dehydration, Dizziness, Increased heart rate, Insomnia, Sleep deprivation",5,3,6
2/7/2023 11:37,21,Man,3.5 - 4.0,Senior,Off Campus (3 mile radius),16,5,Taking notes,2,5,10,3,Transfer Center,Social,1,1,0,Water,4,"Coffee, Energy drinks",200,"Working out, Studying / Working on assignments, Socializing, After waking up","Dehydration, Dependency",7,3,3
2/7/2023 11:37,21,Man,3.5 - 4.0,Junior,Off Campus (3 mile radius),17,5,Taking notes,0,3,7,3,"HUB / Dining Halls, Libraries / Study spaces",Religious / Cultural,1,5,0,water,,Soda,0,Studying / Working on assignments,Increased heart rate,9,2,14
2/7/2023 11:41,20,Man,3.5 - 4.0,Junior,On Campus,16,5,Listening without taking notes,1,30,10,3,"Libraries / Study spaces, Research Facilities, SRC",Science,2,1,3,orange juice,5,Coffee,100,"Working out, Studying / Working on assignments",Insomnia,6,4,8
2/7/2023 12:31,21,Man,3.5 - 4.0,Master's,Off Campus (31+ mile radius),15,5,Using your phone / computer,0,1,4,4,"HUB / Dining Halls, Libraries / Study spaces",Religious / Cultural,0,1,3,Green Tea,4,Tea,30,"Studying / Working on assignments, Socializing",,6,3,30
2/7/2023 13:16,21,Woman,3.5 - 4.0,Junior,Off Campus (3 mile radius),13,4,Taking notes,0,5,10,2,"Libraries / Study spaces, SRC",Sports / Physical Activity,1,2,0,water,4,"Coffee, Tea",50,Socializing,Dehydration,8,4,5
2/7/2023 14:46,24,Man,2.0 - 2.49,Senior,Off Campus (31+ mile radius),13,5,Taking notes,0,6,36,2,"HUB / Dining Halls, Libraries / Study spaces, SRC","Academic / Professional, Social, Sports / Physical Activity",0,0,0,Water,3,"Coffee, Energy drinks",80,"After waking up, No particular ocassion","Dependency, Increased heart rate",7,3,0
2/7/2023 15:27,23,Man,3.0 - 3.49,Senior,Off Campus (4 - 30 mile radius),12,5,Taking notes,0,18,8,3,Libraries / Study spaces,,,,1,lemonade,3,Coffee,80,After waking up,,6,5,26
2/7/2023 15:38,23,Man,3.0 - 3.49,Junior,Off Campus (4 - 30 mile radius),14,5,Taking notes,2,9,12,4,Libraries / Study spaces,Social,1,4,2,Coffee,3,Coffee,80,"Studying / Working on assignments, Socializing",,7,3,8
2/7/2023 16:00,25,Man,2.5 - 2.99,Senior,Off Campus (4 - 30 mile radius),13,3,Listening without taking notes,0,20,5,4,Libraries / Study spaces,,0,0,2,Coke,1,"Energy drinks, Soda",15,No particular ocassion,Sleep deprivation,7,3,4
2/7/2023 16:03,24,Man,2.5 - 2.99,Senior,Off Campus (31+ mile radius),16,3,Taking notes,0,15,15,3,Libraries / Study spaces,Science,2,2,0,Mountain Dew Baja Blast,3,"Coffee, Energy drinks, Soda",120,"Studying / Working on assignments, After waking up","Dehydration, Increased heart rate",6,3,0
2/7/2023 16:42,21,Man,3.5 - 4.0,Senior,Off Campus (4 - 30 mile radius),12,5,Taking notes,0,4,4,2,"HUB / Dining Halls, Libraries / Study spaces",Sports / Physical Activity,0,0,0,Water,2,Coffee,80,"Studying / Working on assignments, After waking up, No particular ocassion","Headaches, Insomnia, Sleep deprivation",7,4,8
2/7/2023 18:01,22,Man,3.0 - 3.49,Senior,On Campus,16,5,Taking notes,0,4,18,4,"HUB / Dining Halls, Libraries / Study spaces",,0,0,0,"Tea, Earl Grey",4,"Energy drinks, Tea",200,"Studying / Working on assignments, After waking up","Dependency, Increased heart rate, Insomnia, Sleep deprivation",7,1,24
2/7/2023 18:47,21,Woman,3.0 - 3.49,Senior,On Campus,16,5,Taking notes,1,8,5,1,Libraries / Study spaces,Academic / Professional,2,4,1,Matcha Latte,2,"Coffee, Soda, Tea",50,"Studying / Working on assignments, After waking up",,6,3,3
2/7/2023 19:13,25,Man,3.0 - 3.49,Senior,Off Campus (4 - 30 mile radius),18,3,Working on assignments,1,15,10,4,"HUB / Dining Halls, Libraries / Study spaces, SRC","Academic / Professional, Sports / Physical Activity",0,,1,Water,4,Coffee,300,"Working out, Studying / Working on assignments, After waking up",Dependency,6,2,10
2/7/2023 20:45,20,Woman,3.0 - 3.49,Junior,Off Campus (3 mile radius),17,3,Taking notes,0,12,10,5,"Libraries / Study spaces, ssc, rivera library","Academic / Professional, Social",2,5,1,Diet Coke,5,"Coffee, Energy drinks, Soda",200,"Working out, Studying / Working on assignments, Socializing","Dependency, Increased heart rate",6,3,8
2/7/2023 20:56,21,Man,3.0 - 3.49,Junior,Off Campus (4 - 30 mile radius),13,5,Listening without taking notes,0,15,5,3,"HUB / Dining Halls, Libraries / Study spaces",Gaming,0,0,0,Water,4,"Coffee, Pre-workout",250,"Working out, Studying / Working on assignments, After waking up",,8,4,25
2/7/2023 23:28,23,Man,2.5 - 2.99,Senior,Off Campus (3 mile radius),16,4,Taking notes,0,3,10,3,HUB / Dining Halls,Social,1,2,0,Dr. Pepper,1,"Energy drinks, Soda",40,No particular ocassion,Dehydration,6,4,1
2/7/2023 23:48,21,Man,3.5 - 4.0,Senior,Off Campus (3 mile radius),13,4,Taking notes,0,4,7,4,"Libraries / Study spaces, Research Facilities, SRC","Gaming, Science, Sports / Physical Activity",2,4,1,Water,2,"Coffee, Energy drinks",80,After waking up,,5,3,10
2/8/2023 0:56,21,Man,3.0 - 3.49,Senior,On Campus,12,2,Listening without taking notes,1,5,9,3,Libraries / Study spaces,"Academic / Professional, Art, Gaming",2,5,2,water,3,Soda,40,Studying / Working on assignments,"Increased heart rate, Sleep deprivation",7,3,
2/8/2023 12:56,22,Man,3.5 - 4.0,Senior,Off Campus (4 - 30 mile radius),12,4,Listening without taking notes,0,4,4,3,SRC,none,0,0,0,Water,5,None,0,No particular ocassion,,5,1,0
2/8/2023 15:41,20,Man,3.5 - 4.0,Junior,Off Campus (3 mile radius),17,5,Taking notes,0,4,8,2,"Libraries / Study spaces, SRC",,2,3,0,,5,"Coffee, Tea",50,"Studying / Working on assignments, Socializing",,7,2,6
2/8/2023 15:41,21,Man,3.5 - 4.0,Senior,On Campus,14,5,Listening without taking notes,1,2,11,3,"HUB / Dining Halls, Libraries / Study spaces, SRC","Gaming, Social, Sports / Physical Activity",2,4,0,Milk,4,None,0,Studying / Working on assignments,"Increased heart rate, Insomnia",6,2,5
2/8/2023 15:46,21,Woman,2.5 - 2.99,Junior,On Campus,12,5,Listening without taking notes,0,8,5,3,HUB / Dining Halls,none,0,0,0,Dr.Pepper,5,Soda,40,No particular ocassion,Sleep deprivation,3,2,3
2/8/2023 16:11,19,Man,3.5 - 4.0,Sophomore,On Campus,14,5,Listening without taking notes,0,3,3,3,HUB / Dining Halls,,0,0,0,Water,1,None,0,No particular ocassion,,6,3,1
2/8/2023 16:14,19,Woman,3.0 - 3.49,Sophomore,Off Campus (3 mile radius),13,3,Taking notes,5,10,10,4,"HUB / Dining Halls, Libraries / Study spaces, SRC","Academic / Professional, Social, Sports / Physical Activity",5,10,4,alcohol,5,"Energy drinks, Tea",40,"Working out, Studying / Working on assignments","Dizziness, Headaches, Increased heart rate",5,4,10
2/8/2023 16:14,23,Man,3.5 - 4.0,Junior,On Campus,17,5,Taking notes,0,0,9,2,HUB / Dining Halls,Sports / Physical Activity,0,3,0,Coke,4,"Soda, Tea",70,No particular ocassion,,8,3,8
2/8/2023 16:23,19,Man,3.5 - 4.0,Sophomore,On Campus,18,4,Taking notes,0,5,20,4,"HUB / Dining Halls, Libraries / Study spaces, SRC",n/a,0,0,0,water,5,"Coffee, Energy drinks, Soda",400,"Working out, Studying / Working on assignments","Dehydration, Dizziness, Headaches, Increased heart rate, Sleep deprivation",6,2,2
2/8/2023 16:26,19,Man,3.5 - 4.0,Sophomore,On Campus,24,5,Taking notes,0,8,10,2,SRC,"Science, Sports / Physical Activity",1,15,0,Lemonade,3,Energy drinks,160,Working out,"Increased heart rate, Insomnia, Sleep deprivation",6,3,15
2/8/2023 17:23,19,Man,3.5 - 4.0,Sophomore,On Campus,17,5,Taking notes,2,10,10,2,"HUB / Dining Halls, Libraries / Study spaces","Academic / Professional, Gaming",2,5,4,Lemonade,3,Soda,30,No particular ocassion,Sleep deprivation,7,3,7
2/8/2023 17:31,20,Man,3.0 - 3.49,Junior,Off Campus (3 mile radius),15,5,Taking notes,0,7,5,3,"Libraries / Study spaces, SRC","Academic / Professional, Sports / Physical Activity",3,4,0,Sparkling Water,5,"Energy drinks, Tea",200,"Working out, Studying / Working on assignments","Dehydration, Increased heart rate",7,2,12
2/8/2023 17:35,20,Man,2.5 - 2.99,Junior,Off Campus (3 mile radius),18,3,Taking notes,1,3,5,3,Libraries / Study spaces,"Gaming, Social, Sports / Physical Activity",0,0,2,Dr. Pepper,2,"Coffee, Soda, Tea",50,No particular ocassion,Increased heart rate,8,4,30
2/8/2023 17:35,19,Man,2.5 - 2.99,Sophomore,Off Campus (4 - 30 mile radius),17,5,Listening without taking notes,0,10,20,4,"HUB / Dining Halls, Libraries / Study spaces, SRC",,0,0,0,Water,,"Energy drinks, Soda",20,Studying / Working on assignments,Increased heart rate,8,4,5
2/8/2023 17:38,19,Man,3.0 - 3.49,Sophomore,On Campus,13,5,Taking notes,4,5,6,2,Libraries / Study spaces,None,0,0,0,Apple Juice,1,Soda,120,No particular ocassion,,8,3,4
2/8/2023 17:39,20,Man,3.0 - 3.49,Sophomore,Off Campus (31+ mile radius),18,5,Taking notes,0,1,8,3,Libraries / Study spaces,,0,0,0,Root Beer,4,Soda,10,Studying / Working on assignments,,6,4,6
2/8/2023 17:40,20,Man,3.0 - 3.49,Junior,On Campus,12,5,Taking notes,0,3,8,3,N/A,N/A,0,0,0,Thai Milk Tea with Boba,4,Tea,0,"Studying / Working on assignments, After waking up, No particular ocassion","Dizziness, Increased heart rate",7,2,0
2/8/2023 17:41,25,Man,3.0 - 3.49,Junior,Off Campus (4 - 30 mile radius),9,2,Listening without taking notes,0,10,5,2,"HUB / Dining Halls, SRC",Gaming,0,0,0,Water,3,None,80,No particular ocassion,Sleep deprivation,7,2,5
2/8/2023 17:42,21,Man,3.5 - 4.0,Junior,Off Campus (3 mile radius),16,5,Taking notes,1,4,6,3,"HUB / Dining Halls, Libraries / Study spaces",Sports / Physical Activity,2,4,2,Water,3,Coffee,0,"Studying / Working on assignments, No particular ocassion",,6,3,2
2/8/2023 17:45,22,Woman,3.5 - 4.0,Junior,Off Campus (4 - 30 mile radius),14,4,Taking notes,0,15,10,4,Libraries / Study spaces,None,0,0,0,Water,1,None,240,No particular ocassion,,6,2,30
2/8/2023 17:51,19,Man,3.0 - 3.49,Sophomore,Off Campus (4 - 30 mile radius),13,5,Listening without taking notes,1,2,4,3,,,0,0,0,Coffee,3,Coffee,300,"Studying / Working on assignments, Socializing, After waking up","Dehydration, Dependency, Headaches",7,3,2
2/8/2023 17:53,21,Man,3.0 - 3.49,Senior,Off Campus (4 - 30 mile radius),16,5,Listening without taking notes,1,35,45,4,Libraries / Study spaces,"Gaming, Political / Student Government, Social",3,7,0,Sparkling Black Raspberry Flavor,3,"Soda, Tea",120,No particular ocassion,"Dizziness, Headaches, Increased heart rate, Sleep deprivation",6,4,60
2/8/2023 17:53,20,Man,3.5 - 4.0,Sophomore,Off Campus (3 mile radius),16,5,Taking notes,0,12,14,3,"HUB / Dining Halls, Libraries / Study spaces, Research Facilities","Academic / Professional, Science",4,3,2,Water,4,"Coffee, Energy drinks, Tea",0,Studying / Working on assignments,"Dehydration, Headaches, Sleep deprivation",5,2,
2/8/2023 17:55,21,Man,3.5 - 4.0,Junior,Off Campus (4 - 30 mile radius),10,5,Taking notes,0,20,20,3,"HUB / Dining Halls, Libraries / Study spaces","Gaming, Social",2,1,0,Ramune,3,None,100,No particular ocassion,,7,3,10
2/8/2023 18:04,20,Woman,3.0 - 3.49,Junior,Off Campus (3 mile radius),12,3,Listening without taking notes,0,7,10,4,"HUB / Dining Halls, Libraries / Study spaces",Gaming,1,3,2,coke,4,"Energy drinks, Tea",50,"Studying / Working on assignments, No particular ocassion",,6,3,15
2/8/2023 18:05,21,Man,3.0 - 3.49,Senior,Off Campus (4 - 30 mile radius),12,5,Taking notes,2,3,9,3,Libraries / Study spaces,"Academic / Professional, Art",0,5,3,Water,4,Tea,160,Studying / Working on assignments,"Dehydration, Headaches, Increased heart rate",7,3,3
2/8/2023 18:08,21,Man,2.5 - 2.99,Junior,On Campus,16,2,Using your phone / computer,0,3,4,3,SRC,Gaming,2,4,0,Coffee,2,Energy drinks,40,"Working out, Studying / Working on assignments, After waking up",,8,3,3
2/8/2023 18:10,19,Woman,3.5 - 4.0,Sophomore,On Campus,17,4,Listening without taking notes,0,3,10,4,"HUB / Dining Halls, SRC",Gaming,2,4,0,Tea/water,3,"Soda, Tea",160,"Working out, Studying / Working on assignments",Increased heart rate,8,3,10
2/8/2023 18:13,25,Man,3.5 - 4.0,Junior,Off Campus (3 mile radius),18,5,Taking notes,0,15,10,4,"HUB / Dining Halls, Libraries / Study spaces, SRC",Science,1,1,1,Milk,4,Energy drinks,160,"Working out, Studying / Working on assignments","Increased heart rate, Insomnia",7,3,6
2/8/2023 18:15,19,Man,3.0 - 3.49,Sophomore,Off Campus (4 - 30 mile radius),16,4,Taking notes,0,3,7,4,"HUB / Dining Halls, Libraries / Study spaces, SRC","Gaming, Sports / Physical Activity",1,2,1,Arnold Palmer,3,"Coffee, Tea",40,"Working out, After waking up",Dehydration,7,3,8
2/8/2023 18:17,20,Man,3.0 - 3.49,Sophomore,Off Campus (4 - 30 mile radius),17,4,Taking notes,1,10,15,4,"HUB / Dining Halls, Libraries / Study spaces, SRC",Sports / Physical Activity,0,0,0,boba,5,Soda,90,"Working out, Studying / Working on assignments, After waking up",Increased heart rate,7,4,10
2/8/2023 18:17,20,Woman,3.5 - 4.0,Junior,Off Campus (4 - 30 mile radius),17,4,Taking notes,1,15,,4,"SRC, ","Community Service, Science, Sports / Physical Activity",1,10,0,Sprite,3,Soda,0,"Studying / Working on assignments, Socializing",Sleep deprivation,6,4,20
2/8/2023 18:21,19,Man,3.5 - 4.0,Sophomore,Off Campus (3 mile radius),17,4,Listening without taking notes,2,20,15,3,"HUB / Dining Halls, Libraries / Study spaces, SRC","Academic / Professional, Art",2,1,1,orange juice,5,None,0,No particular ocassion,,6,3,1
2/8/2023 18:24,22,Man,3.0 - 3.49,Junior,Off Campus (4 - 30 mile radius),13,5,Taking notes,3,15,15,3,"HUB / Dining Halls, Libraries / Study spaces, SRC","Academic / Professional, Gaming, Social",5,5,5,water,3,water,40,Studying / Working on assignments,,8,4,5
2/8/2023 18:27,19,Man,3.0 - 3.49,Sophomore,On Campus,17,1,Using your phone / computer,0,2,25,5,SRC,Sports / Physical Activity,1,6,0,Root beer,1,Soda,0,No particular ocassion,,5,3,0
